referencia,termo1,termo2,termo3,termo4,termo5, termo6
Falta de ar,dispneia,asfixia,sufocação,aperto no peito,ofegação
Histórico familiar,,,,,
Escarro mucóide,Mucosa sem parar,Nariz e olhos lacrimejando,,,
Dor de cabeça,enchaqueca,Cefalia,,,
Tontura,Vertigem,zonzo,,,
Perda de equilíbrio,Dificuldade de se manter em pé,Dificuldade em andar reto,desequilibrio,,
Falta de concentração,Dificuldade de realizar uma tarefa por muito tempo,dificuldade de foco,,,
Rigidez no pescoço,torcicolo,dor no pescoço ,,,
Depressão,Triteza extrema,desanimo,,,
Irritabilidade,Ficar bravo com facilidade,impaciência,,,
Perturbações visuais,alucinações,distorção visual,,,
Dor nas costas,Dor na lombar,Dificuldade de se abaixar,Dificuldade de levantar objetos pesados,,
Fraqueza nos membros,cansaço,fadiga nos braços e pernas,,,
Dor no pescoço,Dor ao virar a cabeça,Dor para levantar os braços,,,
Fraqueza de um lado do corpo,Falta de controle de um lado do corpo,fraqueza lateral,,,
Sensorium alterado,Consumo de drogas,Abstinência de drogas,,,
Urina escura,Urina colorida com tom escuro,urina marrom,,,
Suor,suor excessivo,soando muito ,,,
Dor muscular,Dor nos músculos,Dor na panturrilha,Dor na coxa,Dor no bíceps, Dor nas pernas, Dor nos braços
Febre leve,Suor moderado,temperatura levemente elevada,,,
Linfonodos inchados,gânglios linfáticos inchados,inchaço nas glandulas,,,
Mal-estar,Não estar bem,desconforto geral,,,
Manchas vermelhas no corpo,Partes da pele com uma cor viva mais forte do que o normal,erupções vermelhas,,,
Dor nas articulações,dor nas juntas,desconforto nas articulações,,,
Dor atrás dos olhos,dor no fundo dos olhos,dor pulsante na parte interna dos olhos,,,
Constipação,Cagando pouco,Não cagando,,,
Aparência tóxica (tifoide),Má aparência,Zumbi,,,
Dor abdominal (barriga),Vontade de ir ao banheiro sem vontade,Desconforto estomacal,,,
Urina amarela,Urina com cor forte mas sem sangue,Urina com cor forte mas sem dor,,,
Recebimento de transfusão de sangue,,,,,
Recebimento de injeções não esterilizadas,,,,,
Coma,a mimir,Vegetal,Estado vegetativo,Inconsciência,
Hemorragia estomacal,Dores no estomago,Sensação de enchimento estomacal,Leve sentimento de fraqueza ,Dores após alimentação,
Falência hepática aguda,colapso hepático,falha hepática aguda,,,
Inchaço do estômago,Estufamento,dilatação abdominal,,,
Distensão abdominal,Inchaço abdominal,barriga inchada,,,
Histórico de consumo de álcool,Bebida excessiva,Alcoolismo,,,
Sobrecarga de líquidos,Água em demasia,retenção de líquidos,,,
Catarro,Mucosa escura no nariz,Espirro com mucosa espessa,,,
Sangue no escarro,Mucosa escura e com sangue no nariz,Espirro com mucosa e sangue,,,
Irritação na garganta,dor de garganta,Coceira na garganta,,,
Vermelhidão nos olhos,olhos vermelhos,olhos irritados,,,
Pressão sinusal,Congestão sinusal,Dor facial,,,
Nariz escorrendo,Catarrando,coriza,,,
Congestão,Muito catarro,nariz entupido,,,
Perda de olfato,Não sente cheiro,ausência de olfato,,,
Batimento cardíaco acelerado,Coração acelerado,,,,
Escarro enferrujado,Carato laranja,escarro alaranjado,,,
Dor ao evacuar,Dor ao cagar,Dor ao defecar,,,
Dor na região anal,Proctalgia,Dor retal,Ardor anal,Queimação anal,
Fezes com sangue,Sangue ao defecar,sangue nas fezes,,,
Irritação no ânus,Coceira no cú,Coceira no anús ,Desconforto moderado no anús,,
Cãibras,Espasmos musculares,Contraturas musulares,,,
Hematomas,Manchas roxas até amarelada na pele,Manchas doloridas e escuras na pele,,,
Pernas inchadas,Sensação desconfortável nas pernas,Pernas pesadas,Pernas com sensação de formigação,,
Vasos sanguíneos inchados,Veias saltadas,Sensação de formigação nos membros ,Perda moderada de sensibilidade nos membros,,
Veias salientes na panturrilha,Varize,Veias saltadas nas pernas,,,
Ganho de peso,engordamento,ganho de gordura,,,
Mãos e pés frios,Perda de senbilidade nas pontas dos pés e mãos,Diferença de temperatura do corpo com os membros ,,,
Mudanças de humor,Instabilidade emocional,Facil irritabilidade,,,
Rosto e olhos inchados,cara inchada,inchaço facial,,,
Tireóide aumentada,Hipertiroidismo,Bócio,,,
Unhas quebradiças,Unhas fracas,Unhas frágeis,,,
Extremidades inchadas,Formigação nas extremidades dos membros,inchaço nas mãos e nos pés,,,
Menstruação anormal,Menstruação irregular,menorragia,sangramento intermenstrual,metrorragia,
Fraqueza muscular,Fadiga muscular,Astenia,Impotência muscular,,
Ansiedade,Apreensão,preocupação,pânico,medo,nervosismo
Fala arrastada,Fala enrrolada,Fala lenta,Dicção prejudicada,,
Palpitações,muito pulsação,batimento forte do coração,,,
Lábios ressecados e formigantes,Labios quebradiços ,lábios rachados,,,
Dor no joelho,incômodo no joelho,Desconforto no joelho,,,
Dor na articulação do quadril,Dor ao sentar,Dor ao levantar,,,
Inchaço nas articulações,artrite,articulações inflamadas,,,
Dor ao caminhar,dor ao andar,desconforto ao caminhar,,,
Rigidez de movimento,bradicinesia,rigidez muscular,,,
Tontura (sensação de girar),atordoado,vertigem,atordoado,,
Instabilidade,ausencia de estabilidade,não estável,,,
Pústulas cheias de pus,pus ,muito pus,,,
Cravos,Espinha,acne,,,
Crosta,escarras,crostas espessas,,,
Desconforto na bexiga,Vontade de mijar,pressão na bexiga,,,
Cheiro forte da urina,Mijo com cheiro estranho,odor intenso na urina,,,
Sensação contínua de urinar,muita urina,mijando demais,,,
Descamação da pele,pele descascando,pele esfoliando,,,
Descamação prateada,psoriase,escamas prateadas,,,
Pequenos buracos nas unhas,buracos nas unhas,pontuações nas unhas,,,
Unhas inflamadas,Unha encravada,unhas avermelhadas,,,
Bolha,vesículas,borbulhas,erupção,,
Ferida vermelha ao redor do nariz,dermatite perioral,inflamação perinasal,,,
Crosta amarela escorrendo,exsudato,secreção da ferida,,,
Morte,sem vida,não vivo,Execesso de falta de vida,,
